model,n,alpha,weight,k_hat_mean,k_hat_se,k_hat_oracle_mean,k_hat_oracle_se,coverage_mean,coverage_se,ci_width_mean,ci_width_se,eff_size_mean,eff_size_se
gpt4o,40,0.1,0.85,26.64,0.5304790288032128,41.54,0.8954149875895533,0.9519148936170216,0.0031592699903439285,0.5895953522133955,0.002386984163448172,22.644000000000002,0.45090717448273093
gpt4o,40,0.1,0.9,25.6,0.5215361924162119,39.96,0.8602139268809823,0.9519148936170216,0.0031014241971555052,0.5930041142545711,0.002411221608427761,23.04,0.4693825731745907
gpt4o,40,0.1,0.95,24.44,0.4989268483455265,38.42,0.8424203226418507,0.9525531914893621,0.003173138732552572,0.5975078013446654,0.0023769342436147987,23.217999999999993,0.47398050592825014
gpt4o,40,0.1,1.0,23.5,0.49010203019371384,37.1,0.8415461959987698,0.9519148936170216,0.0030275631329865103,0.6015368365861223,0.0023750134865596225,23.5,0.49010203019371384
gpt4o,40,0.15,0.0,200.0,0.0,200.0,0.0,0.997872340425532,0.0006017930052651445,0.7019515418998789,0.0005468026991221056,0.0,0.0
gpt4o,40,0.15,0.05,200.0,0.0,200.0,0.0,0.9893617021276596,0.001165367143628014,0.5700730613160053,0.00039243467023871304,10.0,0.0
gpt4o,40,0.15,0.1,184.58,2.4354202922698978,200.0,0.0,0.9419148936170216,0.0035756077210623623,0.4968199319637606,0.002016887874527074,18.458,0.24354202922698986
gpt4o,40,0.15,0.15,126.94,2.053759479588591,190.9,1.4945902448497377,0.9374468085106388,0.0038842463684234992,0.49792563893423947,0.002364311238991193,19.040999999999997,0.30806392193828863
gpt4o,40,0.15,0.2,95.02,1.5182858755847002,152.94,2.591587930208041,0.93936170212766,0.003937607558153564,0.5035298958771033,0.002291752325531697,19.003999999999994,0.3036571751169402
gpt4o,40,0.15,0.25,77.48,1.2461909965972309,124.52,2.08829882919088,0.9391489361702132,0.0037707026241490605,0.5061893764825967,0.002275938377112104,19.37,0.3115477491493077
gpt4o,40,0.15,0.3,65.5,1.1232987136109434,105.9,1.828277878223111,0.9389361702127664,0.0037799355924199194,0.5096350632277761,0.0023733013463160643,19.650000000000002,0.33698961408328293
gpt4o,40,0.15,0.35,57.6,1.0182337649086284,93.24,1.5891028915712162,0.9374468085106388,0.003631261081137562,0.5115583428139574,0.002423857988801858,20.159999999999997,0.35638181771801986
gpt4o,40,0.15,0.4,51.24,0.8697401910915694,83.32,1.35098186516326,0.937234042553192,0.003651277085474578,0.514630015945536,0.002295021820312326,20.496,0.34789607643662795
gpt4o,40,0.15,0.45,46.08,0.7928883906326287,75.76,1.2913744615718552,0.938510638297873,0.0038450052259870605,0.5184701413355627,0.002307486377075953,20.736000000000004,0.3567997757846829
gpt4o,40,0.15,0.5,42.22,0.7580448535541943,69.66,1.1519062461849923,0.9376595744680857,0.004136752432536199,0.5215882609158982,0.002343147312268692,21.11,0.37902242677709713
gpt4o,40,0.15,0.55,39.32,0.6878604509637112,64.76,1.1094358926950216,0.9353191489361709,0.004090864735848362,0.5238494478711149,0.002247304302358616,21.626000000000005,0.37832324803004114
gpt4o,40,0.15,0.6,36.52,0.615948049757445,60.64,1.0574535450789317,0.9368085106382984,0.0037871145092300594,0.527468596802295,0.0021338459645106034,21.912,0.36956882985446693
gpt4o,40,0.15,0.65,34.24,0.617452832206639,57.44,1.056090905178148,0.9363829787234047,0.0037640937809586402,0.53092689560243,0.002242767359428273,22.256000000000004,0.4013443409343154
gpt4o,40,0.15,0.7,31.74,0.6577598345901033,54.12,1.0078253817006197,0.9387234042553196,0.003998188815845564,0.5364953469766658,0.00250817573158547,22.218000000000004,0.4604318842130723
gpt4o,40,0.15,0.75,30.06,0.6371247915440112,51.52,0.9287583108645652,0.9376595744680856,0.003900180492857653,0.5400261414924629,0.0025240724649996014,22.545,0.47784359365800855
gpt4o,40,0.15,0.8,28.3,0.5880476171195662,49.18,0.9080484568567914,0.9387234042553197,0.0038716389357597524,0.5445957248027898,0.002408733134538101,22.64,0.47043809369565304
gpt4o,40,0.15,0.85,27.14,0.5649849555519156,47.16,0.8477546814969529,0.9368085106382985,0.0037389947158072805,0.5476225134000046,0.002358755403215726,23.068999999999996,0.4802372122191282
gpt4o,40,0.15,0.9,26.02,0.5377657482584774,45.5,0.8334266614405852,0.9355319148936175,0.003665630812432655,0.5510507267817891,0.0023289583730418104,23.417999999999996,0.4839891734326295
gpt4o,40,0.15,0.95,25.02,0.5015894735737584,44.02,0.763408147716541,0.934893617021277,0.0036187730426330725,0.5544790283735636,0.002228147120336141,23.769000000000002,0.47650999989507037
gpt4o,40,0.15,1.0,24.0,0.4774934554525329,42.44,0.7156311899295611,0.934893617021277,0.0036561091955762716,0.558500948535396,0.0021553095194894634,24.0,0.4774934554525329
gpt4o,50,0.1,0.0,200.0,0.0,200.0,0.0,0.9989361702127659,0.00045134475394885843,0.6769557601302335,0.0004740226915763949,0.0,0.0
gpt4o,50,0.1,0.05,200.0,0.0,200.0,0.0,0.9961702127659575,0.000987013915297293,0.5708871614380167,0.000346543206721781,10.0,0.0
gpt4o,50,0.1,0.1,188.42,2.5196968071575596,200.0,0.0,0.9685106382978727,0.0028539204488693135,0.5054443927008871,0.001837512040441106,18.842,0.25196968071575593
gpt4o,50,0.1,0.15,131.6,2.3399145283535465,188.26,2.0922351684263414,0.9625531914893621,0.0035886244497545564,0.5043166209290016,0.002353333812002687,19.740000000000002,0.350987179253032
gpt4o,50,0.1,0.2,99.94,1.7745782597563848,150.24,2.6676671456536702,0.9631914893617025,0.00356292462306239,0.5073167914378519,0.0022512541239332598,19.987999999999996,0.354915651951277
gpt4o,50,0.1,0.25,80.98,1.4849888888473204,121.04,2.1169714216304385,0.9627659574468089,0.0035887505943474484,0.5103058659205333,0.002330293541642139,20.245,0.3712472222118301
gpt4o,50,0.1,0.3,67.78,1.3606733627142111,102.74,1.6759021451146845,0.9627659574468089,0.0034863765123774354,0.5144199206734714,0.0024878818193432395,20.334,0.4082020088142634
gpt4o,50,0.1,0.35,58.76,1.1670681214050878,89.92,1.4663805781583443,0.9608510638297877,0.0034758430394318533,0.5175700044879171,0.0024298407670877444,20.566000000000003,0.4084738424917805
gpt4o,50,0.1,0.4,51.96,1.0217475226297348,80.58,1.334493162215528,0.9623404255319152,0.003326369668916402,0.5208058722430228,0.0023507481423182463,20.784000000000002,0.4086990090518938
gpt4o,50,0.1,0.45,47.1,0.9222797840135064,72.36,1.2730310286870468,0.9619148936170216,0.003484298350200453,0.5230826709412946,0.0022781984819433675,21.195000000000004,0.41502590280607776
gpt4o,50,0.1,0.5,43.34,0.8577225658684747,66.38,1.2315486186099192,0.9606382978723409,0.003537933861343808,0.5251597838265234,0.0022845145445110748,21.67,0.42886128293423736
gpt4o,50,0.1,0.55,39.7,0.7885429601486527,61.32,1.1934621904358762,0.960425531914894,0.0034444436331656277,0.5288854722221191,0.002249207159241417,21.835,0.43369862808175913
gpt4o,50,0.1,0.6,36.94,0.7301561476834937,57.42,1.1572691994518822,0.9606382978723409,0.003394267262456132,0.5317820645090867,0.00217085131446167,22.163999999999998,0.43809368861009623
gpt4o,50,0.1,0.65,35.06,0.711286159010563,53.86,1.0469040070608193,0.9602127659574472,0.0035194602244685348,0.5334069171134634,0.002197690944560463,22.789,0.4623360033568658
gpt4o,50,0.1,0.7,32.78,0.6488697866290276,50.68,0.9864846678991012,0.9589361702127664,0.003282531236308065,0.5371422471444751,0.002059171475495338,22.94599999999999,0.4542088506403193
gpt4o,50,0.1,0.75,30.82,0.6220546599777226,48.22,0.9823604226555546,0.9602127659574472,0.0030951414196162628,0.5409094442759128,0.0021436755499235636,23.115,0.4665409949832919
gpt4o,50,0.1,0.8,29.1,0.6107372593840987,46.08,0.9590995777290281,0.9608510638297877,0.0030602816334238635,0.5446991558198807,0.0021509093401882533,23.279999999999994,0.48858980750727904
gpt4o,50,0.1,0.85,27.68,0.5610276285531755,44.3,0.933488082409197,0.9612765957446813,0.0030650115924032518,0.5480716577232774,0.0020451548575959326,23.528000000000006,0.47687348427019927
gpt4o,50,0.1,0.9,26.3,0.54571054598569,42.72,0.9444744570394692,0.9597872340425536,0.002952621197004681,0.551940754905886,0.002063632645638521,23.67,0.49113949138712115
gpt4o,50,0.1,0.95,25.22,0.5101293953498464,40.82,0.895629387637543,0.9595744680851068,0.002790399372043404,0.5551621743489004,0.0019705315297747455,23.959,0.4846229255823541
gpt4o,50,0.1,1.0,24.22,0.5101293953498465,39.66,0.877090645258516,0.9597872340425536,0.003028310660993012,0.5585904518981446,0.001999655443238472,24.22,0.5101293953498465
gpt4o,50,0.15,0.0,200.0,0.0,200.0,0.0,0.9985106382978723,0.0005220359211227765,0.6313163733430138,0.00039911351089999195,0.0,0.0
gpt4o,50,0.15,0.05,200.0,0.0,200.0,0.0,0.9931914893617022,0.0011945250083079313,0.5318697080547719,0.00029855240916625746,10.0,0.0
gpt4o,50,0.15,0.1,190.26,2.225634291612168,200.0,0.0,0.9534042553191493,0.0032111451456170613,0.46952688363637207,0.00152346931404852,19.026,0.22256342916121688
gpt4o,50,0.15,0.15,133.12,2.473966855073042,199.08,0.4541717736715922,0.9497872340425536,0.003782689120858483,0.4683867273511026,0.0023169938226656733,19.968000000000007,0.3710950282609563
gpt4o,50,0.15,0.2,101.78,1.8775068575107785,170.4,2.3141305062593163,0.9491489361702133,0.0037737028176697664,0.4704184760892365,0.0022805024217411795,20.355999999999998,0.37550137150215585
gpt4o,50,0.15,0.25,83.04,1.5099562907581132,138.82,2.362149868234444,0.9487234042553196,0.0038379345961975313,0.47241529951583255,0.0022140668303653795,20.76,0.3774890726895283
gpt4o,50,0.15,0.3,70.08,1.294863699390789,116.94,2.004476989142055,0.9489361702127664,0.0037097012285452553,0.47530981438050257,0.0022035873113887936,21.024000000000004,0.3884591098172368
gpt4o,50,0.15,0.35,60.88,1.1915166805378765,102.22,1.768907007165724,0.9470212765957452,0.0037880706702019895,0.4781869481858919,0.002283251121503728,21.307999999999993,0.4170308381882567
gpt4o,50,0.15,0.4,53.72,1.0264657812124085,90.7,1.398070098385628,0.9470212765957452,0.0035281959400262543,0.48151492333330304,0.0021485340661517066,21.488000000000007,0.41058631248496336
gpt4o,50,0.15,0.45,48.12,0.9833168360198049,83.32,1.406396814558395,0.9476595744680856,0.0036955186790119474,0.48503263755727116,0.0022718073848974306,21.654,0.4424925762089123
gpt4o,50,0.15,0.5,43.68,0.8692249421179766,76.72,1.320315113902738,0.9470212765957452,0.0035281959400262543,0.48837295986086177,0.002177641944066614,21.84,0.4346124710589883
gpt4o,50,0.15,0.55,40.76,0.8022767602267935,70.86,1.1794948071102307,0.9451063829787238,0.003652640635553181,0.48996545945949554,0.002140379305143707,22.417999999999992,0.4412522181247365
gpt4o,50,0.15,0.6,37.88,0.7427731820683889,66.08,1.112057552467497,0.9457446808510643,0.0036138910109495804,0.49285397264110176,0.002088273696902983,22.728,0.4456639092410333
gpt4o,50,0.15,0.65,35.64,0.74229913107857,62.04,1.1066923691794393,0.9442553191489367,0.003692087142720657,0.49530675121240536,0.002174257086611967,23.166000000000004,0.48249443520107055
gpt4o,50,0.15,0.7,33.44,0.6610052949863562,58.12,1.0479083929428183,0.9459574468085111,0.003596185293412186,0.4984653503420388,0.0019931846184193247,23.407999999999994,0.46270370649044945
gpt4o,50,0.15,0.75,31.44,0.6165452132650127,55.06,0.9961566141927681,0.9463829787234047,0.0036476798283807395,0.5019915939969143,0.0019269376342437219,23.58,0.4624089099487595
gpt4o,50,0.15,0.8,29.82,0.5821958433379613,52.54,0.9704473195387783,0.9463829787234047,0.003684723089496045,0.5050946717118091,0.0018941614427552716,23.855999999999998,0.46575667467036913
gpt4o,50,0.15,0.85,28.28,0.5831226286125414,50.16,0.9266541965587811,0.9453191489361709,0.0036853373226246357,0.508668394552624,0.0019573723270287116,24.037999999999997,0.49565423432066014
gpt4o,50,0.15,0.9,27.06,0.5487513097934253,48.12,0.8920269054238218,0.9455319148936177,0.0036684701382557125,0.5116691774734895,0.0018999878493805656,24.353999999999992,0.49387617881408297
gpt4o,50,0.15,0.95,25.56,0.5076691836225633,46.24,0.8350137723415105,0.9463829787234048,0.003495583451559636,0.5160679209016396,0.0018060204075333007,24.282000000000007,0.4822857244414352
gpt4o,50,0.15,1.0,24.6,0.4808326112068523,44.76,0.8097209395835084,0.9455319148936175,0.0035556750143404922,0.5190922604382577,0.0017548802731908856,24.6,0.4808326112068523
gpt-5-mini,40,0.1,0.0,200.0,0.0,200.0,0.0,0.9982978723404256,0.0005515523998644965,0.7520924309071028,0.0006365045005871802,0.0,0.0
gpt-5-mini,40,0.1,0.05,200.0,0.0,200.0,0.0,0.9893617021276597,0.0011258516217296135,0.6126669555011628,0.0003681809958756737,10.0,0.0
gpt-5-mini,40,0.1,0.1,164.88,2.5903883878677343,199.62,0.37618080759124356,0.9580851063829791,0.003190212510536121,0.552153229381991,0.0023779861515666532,16.488,0.2590388387867735
gpt-5-mini,40,0.1,0.15,111.58,1.9399154620756027,164.58,2.6362230558129944,0.9572340425531918,0.0033301780750839803,0.5554356211619859,0.002555653210663241,16.737000000000002,0.2909873193113405
gpt-5-mini,40,0.1,0.2,83.74,1.4772433787294497,128.06,2.4625856330288287,0.9602127659574471,0.003195883499832212,0.56054862772055,0.0025332540078251303,16.748,0.29544867574588984
gpt-5-mini,40,0.1,0.25,68.14,1.203332040627191,104.12,1.9866836688310496,0.9585106382978728,0.0032442448259525345,0.5633390441592085,0.0024789437729460795,17.035,0.30083301015679775
gpt-5-mini,40,0.1,0.3,57.9,0.9876234100101111,88.22,1.7646053383122244,0.9587234042553194,0.0031506608273043023,0.5658424766918626,0.0023854010610747218,17.370000000000008,0.29628702300303333
gpt-5-mini,40,0.1,0.35,50.66,0.8637638566182312,77.08,1.5760304565585017,0.9582978723404258,0.003334932466876026,0.5683513169260022,0.002346304557226895,17.731,0.3023173498163808
gpt-5-mini,40,0.1,0.4,45.18,0.7728855025163818,68.84,1.366853320587107,0.9563829787234047,0.0033942672624561318,0.5711720946602025,0.0022937564552382205,18.072,0.3091542010065528
gpt-5-mini,40,0.1,0.45,40.92,0.6921502727009503,61.82,1.2898651092265423,0.9565957446808515,0.0032385187387983755,0.5740645527414272,0.00223481053090993,18.413999999999998,0.3114676227154277
gpt-5-mini,40,0.1,0.5,37.3,0.6389053137985313,56.6,1.2142487389328431,0.9553191489361705,0.003417527320044472,0.5778367501738709,0.0022365249933646186,18.65,0.31945265689926566
gpt-5-mini,40,0.1,0.55,34.44,0.6287511431401136,52.24,1.0761263866293775,0.9557446808510641,0.003395734015874045,0.5812973088389423,0.0023514824769320817,18.942,0.34581312872706255
gpt-5-mini,40,0.1,0.6,31.98,0.5882108465507925,48.9,0.9646761114488117,0.9563829787234046,0.0033809039536320654,0.5849865257113671,0.0022782508384236472,19.188000000000002,0.3529265079304755
gpt-5-mini,40,0.1,0.65,29.64,0.5612557349372922,45.56,0.9157117450377056,0.9570212765957451,0.003443392055173432,0.589693716598196,0.002246940155006917,19.266000000000002,0.36481622770923977
gpt-5-mini,40,0.1,0.7,27.82,0.5258821160678505,42.8,0.8560373823613079,0.9580851063829792,0.003342660859351847,0.5935266163016487,0.0021620341437222725,19.474,0.36811748124749527
gpt-5-mini,40,0.1,0.75,26.32,0.49431973458481293,40.96,0.8375965615975269,0.9580851063829792,0.003161704991264703,0.5970491037054798,0.002130834810570074,19.74,0.3707398009386098
gpt-5-mini,40,0.1,0.8,25.12,0.4846772121732154,39.0,0.8173126696681019,0.9565957446808515,0.003224510027314491,0.6001277826583375,0.002103489352114489,20.096000000000007,0.3877417697385722
gpt-5-mini,40,0.1,0.85,23.86,0.45957371552341847,37.62,0.8192142576884267,0.9576595744680856,0.0030904575748146573,0.6042493243729757,0.002106825526224513,20.281,0.3906376581949057
gpt-5-mini,40,0.1,0.9,22.98,0.48537820305407214,36.12,0.770267486007296,0.9563829787234047,0.003173709338335384,0.6073413439796678,0.00227642939006005,20.682,0.4368403827486648
gpt-5-mini,40,0.1,0.95,22.2,0.4664761515876241,34.6,0.726636084983398,0.9553191489361705,0.003417527320044472,0.6103962270181064,0.0022463480927873156,21.09,0.44315234400824277
gpt-5-mini,40,0.1,1.0,21.42,0.45964333999308643,33.42,0.7111061805384623,0.9557446808510641,0.003435494960330114,0.6138786659898635,0.0022603576294063423,21.42,0.45964333999308643
gpt-5-mini,40,0.15,0.0,200.0,0.0,200.0,0.0,0.997872340425532,0.0006017930052651445,0.7019515418998789,0.0005468026991221056,0.0,0.0
gpt-5-mini,40,0.15,0.05,200.0,0.0,200.0,0.0,0.9848936170212766,0.0013818325856280451,0.571037378369477,0.0003220532447982227,10.0,0.0
gpt-5-mini,40,0.15,0.1,169.52,2.4423333105864162,200.0,0.0,0.9425531914893622,0.0034439178843060957,0.5104275832939213,0.002083305260412112,16.951999999999995,0.24423333105864153
gpt-5-mini,40,0.15,0.15,114.98,1.754876633840681,184.54,2.1204169401322934,0.9412765957446814,0.003867895508308882,0.5132181091009036,0.0021649751524366644,17.247000000000003,0.2632314950761021
gpt-5-mini,40,0.15,0.2,86.78,1.3550763816110143,144.52,2.567214833238543,0.940638297872341,0.0038894874042725187,0.5174166238921637,0.0021677419318328274,17.355999999999998,0.2710152763222029
gpt-5-mini,40,0.15,0.25,70.92,1.2065952096705839,118.22,2.02015642958658,0.9404255319148941,0.004103681174890621,0.5196915038979747,0.0023075521743721726,17.73,0.30164880241764597
gpt-5-mini,40,0.15,0.3,59.42,1.021406872896399,100.96,1.7735749208871896,0.9417021276595751,0.0040171655221126635,0.5239607696440985,0.0022608194178746384,17.826,0.3064220618689195
gpt-5-mini,40,0.15,0.35,51.32,0.8136043264388408,88.24,1.5180408426653085,0.9421276595744686,0.0037359666498124203,0.5278723442551053,0.002073214244035012,17.962,0.2847615142535943
gpt-5-mini,40,0.15,0.4,45.52,0.7669367640164346,78.72,1.3758023113805264,0.9412765957446814,0.00384441650352859,0.5312736720023682,0.0021461466908302322,18.20800000000001,0.30677470560657377
gpt-5-mini,40,0.15,0.45,41.32,0.685530451548288,70.92,1.331417289958336,0.9410638297872346,0.004182461386592772,0.5337335538700182,0.0020856864479334163,18.593999999999998,0.3084887031967297
gpt-5-mini,40,0.15,0.5,37.84,0.6470610481245184,64.92,1.2308826101623178,0.9412765957446814,0.004095288728420293,0.5367075706500267,0.00211056417155611,18.92,0.3235305240622592
gpt-5-mini,40,0.15,0.55,35.2,0.5926212956011623,60.1,1.1232987136109431,0.9404255319148941,0.004092634906738586,0.5390129863591518,0.0020335436037800924,19.360000000000003,0.3259417125806392
gpt-5-mini,40,0.15,0.6,32.58,0.5727756978084878,56.24,1.072402909358232,0.9391489361702132,0.00400361991024309,0.5429329428471544,0.002046107688452369,19.548000000000002,0.3436654186850926
gpt-5-mini,40,0.15,0.65,30.58,0.5987253126434525,52.28,1.0249058493344645,0.9380851063829794,0.004273260051910481,0.5461273579929915,0.0022633210701097266,19.877,0.38917145321824426
gpt-5-mini,40,0.15,0.7,28.66,0.5072356454351369,49.52,0.9847801785170129,0.9397872340425537,0.0038014316714070576,0.5498385088128586,0.0019697384274242544,20.061999999999998,0.35506495180459585
gpt-5-mini,40,0.15,0.75,26.9,0.4843552415324934,47.18,0.9058432535488687,0.9421276595744686,0.0038316780202520616,0.5540712601586075,0.0019822647350868305,20.175,0.3632664311493701
gpt-5-mini,40,0.15,0.8,25.6,0.4516635916254486,44.9,0.8164557550780079,0.942765957446809,0.0038520628773484125,0.5572711757508009,0.0019004070458634808,20.48,0.36133087330035873
gpt-5-mini,40,0.15,0.85,24.34,0.43599082559154834,42.94,0.8081633498247739,0.9417021276595751,0.0037731029698146205,0.5610679064252242,0.001891058378581028,20.688999999999997,0.3705922017528162
gpt-5-mini,40,0.15,0.9,23.36,0.39371055357965706,41.7,0.8154753215150046,0.9419148936170219,0.0037607248176872105,0.5642304286765788,0.0017748149711317273,21.023999999999997,0.35433949822169136
gpt-5-mini,40,0.15,0.95,22.48,0.4002399280431676,40.04,0.7924443198105466,0.9412765957446814,0.003832623063556665,0.5675265137524472,0.0018277665831972479,21.355999999999998,0.38022793164100915
gpt-5-mini,40,0.15,1.0,21.92,0.43066460267823264,38.66,0.7459812330079089,0.9402127659574474,0.004058088849000596,0.5698509677030553,0.0020118600834352447,21.92,0.43066460267823264
gpt-5-mini,50,0.1,0.0,200.0,0.0,200.0,0.0,0.9989361702127659,0.00045134475394885843,0.6769557601302335,0.0004740226915763949,0.0,0.0
gpt-5-mini,50,0.1,0.05,200.0,0.0,200.0,0.0,0.9940425531914895,0.0010915536458196303,0.5716271753335641,0.00029703932046735174,10.0,0.0
gpt-5-mini,50,0.1,0.1,175.66,3.0242499896668598,200.0,0.0,0.9631914893617025,0.002826025335025418,0.5156317333249354,0.002178414149627147,17.565999999999995,0.3024249989666859
gpt-5-mini,50,0.1,0.15,120.34,2.5340260456435724,182.56,2.4666025216884857,0.9606382978723409,0.003737057036223468,0.5168606421620333,0.0025938466849973396,18.051,0.38010390684653583
gpt-5-mini,50,0.1,0.2,90.92,1.9558813869966658,143.68,2.7632502601103655,0.9606382978723409,0.0034733675994286185,0.5202739395384167,0.0025819654440123636,18.183999999999997,0.39117627739933314
gpt-5-mini,50,0.1,0.25,73.3,1.5497741770980702,116.26,2.289595597480044,0.9602127659574472,0.003361567462963959,0.5235755997885958,0.0024664232771709777,18.325,0.38744354427451755
gpt-5-mini,50,0.1,0.3,62.64,1.3040736175538554,98.3,1.9235903929891105,0.9591489361702132,0.0034748009638457195,0.5249213895523562,0.0024106146026424777,18.791999999999994,0.39122208526615665
gpt-5-mini,50,0.1,0.35,54.14,1.0744338043825687,86.24,1.736101379528281,0.9587234042553195,0.003872574227218198,0.5281809601129228,0.0022678568274039483,18.948999999999995,0.37605183153389915
gpt-5-mini,50,0.1,0.4,47.72,0.9846989387625031,76.48,1.6344393534175568,0.95936170212766,0.003426655029311374,0.5317156901371547,0.002305657190593982,19.087999999999997,0.3938795755050013
gpt-5-mini,50,0.1,0.45,42.96,0.8817981628468047,69.12,1.4061692643490684,0.960425531914894,0.0030838588820414365,0.53466546715864,0.0022491564713218344,19.331999999999997,0.3968091732810621
gpt-5-mini,50,0.1,0.5,39.48,0.8519342697649859,63.02,1.4012822699228016,0.960425531914894,0.003269126607092565,0.5368741944431547,0.002321257551688407,19.74,0.42596713488249294
gpt-5-mini,50,0.1,0.55,36.14,0.7853712497920966,57.92,1.2214221219545682,0.9602127659574472,0.00327977187869505,0.540498456730235,0.0022845800139410267,19.877,0.4319541873856532
gpt-5-mini,50,0.1,0.6,33.6,0.7299315036357864,54.16,1.1525137743211573,0.9606382978723409,0.003326913993853594,0.5433570391645478,0.002223718300995611,20.16,0.43795890218147177
gpt-5-mini,50,0.1,0.65,31.64,0.7086663530886733,50.42,1.102756546115234,0.9602127659574472,0.003348073640582212,0.5456709752621258,0.002255126704892082,20.566000000000003,0.4606331295076375
gpt-5-mini,50,0.1,0.7,30.02,0.6605997275203798,47.48,1.0511859968625914,0.9600000000000004,0.003503345100043025,0.5477630780247906,0.0021666438050081285,21.013999999999996,0.4624198092642658
gpt-5-mini,50,0.1,0.75,28.2,0.6480740698407861,44.74,1.0130389923393865,0.9595744680851068,0.0036232736948779588,0.5514155723739055,0.002196567873677935,21.15,0.48605555238058945
gpt-5-mini,50,0.1,0.8,26.84,0.6314174530372122,42.3,0.9794896630388704,0.957234042553192,0.003835574823104173,0.5542735690671762,0.00222136328206301,21.472000000000012,0.5051339624297697
gpt-5-mini,50,0.1,0.85,25.7,0.5853204250664759,40.62,0.9507428674462931,0.9568085106382983,0.0036902475070987742,0.5568470902434898,0.0021171866512994034,21.845,0.4975223613065045
gpt-5-mini,50,0.1,0.9,24.56,0.5859419766495656,38.92,0.9076739502706904,0.9570212765957451,0.0036476798283807395,0.5600776885911742,0.0021549075689093174,22.103999999999996,0.5273477789846089
gpt-5-mini,50,0.1,0.95,23.44,0.5375202321773571,37.4,0.8644073113989723,0.9585106382978728,0.0036138910109495812,0.5635707179826638,0.0020294985528649325,22.268000000000008,0.5106442205684895
gpt-5-mini,50,0.1,1.0,22.44,0.5224251142508369,36.12,0.8350520941833509,0.9589361702127664,0.003648300298171816,0.567087888293444,0.002006868554549978,22.44,0.5224251142508369
gpt-5-mini,50,0.15,0.0,200.0,0.0,200.0,0.0,0.9985106382978723,0.0005220359211227765,0.6313163733430138,0.00039911351089999195,0.0,0.0
